Type,Title/ID,Points,Question Wording,Correct Answer,Choice 1,Choice 2,Choice 3,Choice 4,Choice 5,Choice 6,Choice 7,Choice 8,Choice 9,Choice 10,General Feedback,Correct Feedback,Incorrect Feedback,Feedback 1,Feedback 2,Feedback 3,Feedback 4,Feedback 5,Feedback 6,Feedback 7,Feedback 8,Feedback 9,Feedback 10,Topic,Difficulty Level,Meta 1,Meta 2,Meta 3,Meta 4
MC,Sculptor,1,"Who was the sculptor of Bacchus, Sleeping Cupid, Madonna of the Stairs, and David?",Michaelangelo,Donatello,Leonardo da Vinci,Giotto,Michaelangelo,,,,,,,"Michaelangelo was the sculptor of Bacchus, Sleeping Cupid, Madonna of the Stairs, and David",,,,,,,,,,,,,,,,,,
MC,Composer,1,"This German composer is known for the following works: Magnificat, Christmas Oratorio, and the Brandenburg Concertos.",Bach,Handel,Beethoven,Mozart,Bach,Brahms,,,,,,The German composer is Bach. He is probably best known for the Brandenburg Concertos.,,,,,,,,,,,,,,,,,,
MC,Summa theologica,1,Who authored Summa theologica?,Thomas Acquinas,Martin Luther,Thomas Acquinas,St. Augustine,John Calvin,,,,,,,Summa theologica was authored by Thomas Acquinas.,,,,,,,,,,,,,,,,,,
TF,Machiavelli,1,"Machiavelli is the author of Il Principe, which describes the means by which a prince may gain and maintain his power.",TRUE,,,,,,,,,,,"Machiavelli's Il Principe (""the prince"") describes how to gain and maintain political power.",,,,,,,,,,,,,,,,,,
MR,Laws of Motion,1,Newton's three famous laws of motion include these concepts (select three):,"Speed,Velocity,Vector",Speed,Velocity,Mass,Vector,Energy,Gravity,,,,,"Speed, Velocity, and Vector are the concepts Newton used in his three laws of motion.",,,,,,,,,,,,,,,,,,
MC,Smallpox,1,Who discovered the vaccine for smallpox?,Edward Jenner,Louis Pastuer,Edward Jenner,Alfred Nobel,Jonas Salk,,,,,,,"Edward Jenner inoculated people with the related ""cow-pox"" virus which helped them build an immunity against the deadly scourge of smallpox.",,,,,,,,,,,,,,,,,,
MC,Penicillin,1,Who is credited for discovering the antibacterial medicine penicillin?,Alexander Fleming,Louis Pastuer,Edward Jenner,Alexander Fleming,Jonas Salk,,,,,,,"In 1928, Alexander Fleming noticed that mold inhibited the growth of bacteria, which led to the isolation of penicillin in 1940. Fleming later won the Nobel prize in medicine in 1945.",,,,,,,,,,,,,,,,,,
MC,Psychoanalysis,1,Who is considered to be the founder of psychoanalysis?,Sigmund Freud,Sigmund Freud,Emile Durkheim,C. G. Jung,Eugen Bleuler,Josef Breuer,,,,,,Sigmund Freud was the founder of psychoanalysis.,,,,,,,,,,,,,,,,,,
MR,New World,1,"Who are the first two European mariners credited for sailing to the ""New World""?","Leif Ericson,Thorfinn Karlsefni",Leif Ericson,Christopher Columbus,Thorfinn Karlsefni,Amerigo Vespucci,Wheris Waldo,,,,,,"Leif Ericson (also known as Leiv Eiriksson, and ""Eirik the Red"") became the first European to set foot on the shores of North America (modern-day New Foundland). Several years later (in 1006), fellow Norwegian Thorfinn Karlsefni led a colonizing expedition to New Foundland.",,,,,,,,,,,,,,,,,,
MC,South Pole,1,Who is credited as being the first person to reach the South Pole?,Roald Amundsen,Frederick Cook,Roald Amundsen,Robert E. Peary,Ernest Shackleton,Edmund Hillary,,,,,,"Roald Amundsen is credited as being the first person to reach the South Pole (1911). As far as the others... Frederick Cook claimed that he reached the North Pole in 1909 (which would have made him the first to do so) but this was later determined to be fraudulent... Ernest Shackleton led a failed Antarctica expedition in 1914 that resulted in an amazing tale of survival by Shackleton and 27 of his men (read the story ""Endurance"" by Alfred Lansing)... Edmund Hillary (and Nepalese Tenzing Norgay) was the first to reach the top of Mt. Everest. ",,,,,,,,,,,,,,,,,,
MC,Wireless radio,1,Who is credited for inventing the wireless radio?,Guglielmo Marconi,Vladimar Zworykin,Thomas Edison,Guglielmo Marconi,David Sarnoff,Edwin Armstrong,,,,,,"In 1895 Italian inventor Guglielmo Marconi built the equipment and transmitted electrical signals through the air from one end of his house to the other, and then from the house to the garden. These experiments were, in effect, the dawn of practical wireless telegraphy or radio.",,,,,,,,,,,,,,,,,,
FB,First computer,1,"In 1946, J. Presper Eckert and John Mauchly created the first large general-purpose electronic computer. It was given the name _________.",,ENIAC,the ENIAC,Electronic Numerical Integrator and Computer,the Electronic Numerical Integrator and Computer,"""ENIAC""",,,,,,"J. Presper Eckert and John Mauchly called their general-purpose electronic computer the ENIAC, which stood for Electronic Numerical Integrator and Computer.",,,,,,,,,,,,,,,,,,
MC,Louisiana Purchase,1,"In 1803, the U.S. negotiated the Louisiana Purchase from _______________ for $15 million. With this purchase, the U.S. doubles its domain, increasing its territory by 827,000 sq. mi. (2,144,500 sq km), from the Mississippi River to the Rockies and from the Gulf of Mexico to British North America.",France,Great Britain,Spain,Mexico,France,Russia,,,,,,"The Louisiana Purchase has been described as the greatest real estate deal in history. In 1803 the United States paid France $15 million for the Louisiana Territory--827,000 square miles of land west of the Mississippi River. The lands acquired stretched from the Mississippi River to the Rocky Mountains and from the Gulf of Mexico to the Canadian border. Thirteen states were carved from the Louisiana Territory. The Louisiana Purchase nearly doubled the size of the United States, making it one of the largest nations in the world.",,,,,,,,,,,,,,,,,,
MC,Independence,1,"In 1803, _______________ was the first black nation to gain independence from European colonial rule.",Haiti,Nigeria,Trinidad and Tobago,Haiti,Kenya,Angola,,,,,,"Haiti was the first black nation to gain independence from European colonial rule. Independence for other black nations came much later: Nigeria (1960), Trinidad & Tobago (1962), Kenya (1963), and Angola (1975).",,,,,,,,,,,,,,,,,,
FB,Inca,1,The remains of the Inca empire can be found in the modern-day country of __________.,,Peru,,,,,,,,,,"The Inca empire was located in the modern-day country of Peru, South America.",,,,,,,,,,,,,,,,,,
ES,Essays,1,"Respondus can be used to create essay questions (also known as ""paragraph"" questions).",,"The correct answer for the essay question can be entered in this section. However, grading cannot be done automatically by the course management system.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
